Code,Description,Airport Name,Latitude,Longitude
10001,"Afognak Lake, AK: Afognak Lake Airport",Afognak Lake Airport,58.10944444,-152.90666667
10003,"Granite Mountain, AK: Bear Creek Mining Strip",Bear Creek Mining Strip,65.54805556,-161.07166667
10004,"Lik, AK: Lik Mining Camp",Lik Mining Camp,68.08333333,-163.16666667
10005,"Little Squaw, AK: Little Squaw Airport",Little Squaw Airport,67.57,-148.18388889
10006,"Kizhuyak, AK: Kizhuyak Bay",Kizhuyak Bay,57.74527778,-152.88277778
10007,"Klawock, AK: Klawock Seaplane Base",Klawock Seaplane Base,55.55472222,-133.10166667
10008,"Elizabeth Island, AK: Elizabeth Island Airport",Elizabeth Island Airport,59.15694444,-151.82916667
10009,"Homer, AK: Augustin Island",Augustin Island,59.36277778,-153.43055556
10010,"Hudson, NY: Columbia County",Columbia County,42.29138889,-73.71027778
10011,"Peach Springs, AZ: Grand Canyon West",Grand Canyon West,35.98611111,-113.81694444
10012,"Blairstown, NJ: Blairstown Airport",Blairstown Airport,40.97111111,-74.9975
10013,"Crosbyton, TX: Crosbyton Municipal",Crosbyton Municipal,33.62388889,-101.24083333
10014,"Fairbanks/Ft. Wainwright, AK: Blair Lake",Blair Lake,64.36361111,-147.36388889
10015,"Deadmans Bay, AK: Deadmans Bay Airport",Deadmans Bay Airport,57.06666667,-153.93777778
10016,"Hallo Bay, AK: Hallo Bay Airport",Hallo Bay Airport,58.4575,-154.02333333
10017,"Red Lake, AK: Red Lake Airport",Red Lake Airport,51.06722222,-93.79305556
10018,"Shell Lake, AK: Shell Lake Airport",Shell Lake Airport,61.96388889,-151.55583333
10019,"Kougarok, AK: Navigator Airstrip",Navigator Airstrip,65.65555556,-165.35638889
10020,"Selawik, AK: Roland Norton Memorial",Roland Norton Memorial,66.76611111,-160.15277778
10021,"Pillar Bay, AK: Pillar Bay Airport",Pillar Bay Airport,56.59805556,-134.24277778
10022,"Johnstone Point, AK: Johnstone Point Airport",Johnstone Point Airport,60.48166667,-146.58416667
10023,"Tikchik Lodge, AK: Tikchik Lodge Airport",Tikchik Lodge Airport,59.95555556,-158.48055556
10024,"Bell Creek, AK: Bell Creek Airport",Bell Creek Airport,60.78388889,-159.54027778
10025,"Cinnabar, AK: Cinnabar Airport",Cinnabar Airport,60.78527778,-158.86444444
10026,"Mountaintop Mine, AK: Mountaintop Mine Airport",Mountaintop Mine Airport,61.39027778,-157.99555556
10027,"Whitebear, AK: Whitebear Airport",Whitebear Airport,61.18888889,-159.85833333
10028,"Puviaq, AK: Puviaq Airport",Puviaq Airport,70.71555556,-154.40694444
10029,"Arley Lake, AK: Arley Lake Airport",Arley Lake Airport,70.74694444,-155.36083333
10030,"Port Vita, AK: Port Vita Airport",Port Vita Airport,58.06555556,-153.0725
10031,"Kantishna, AK: Kantishna Airport",Kantishna Airport,63.54111111,-150.995
10033,"Alpine, AK: Alpine Airstrip",Alpine Airstrip,70.34416667,-150.94472222
10034,"Serpentine, AK: Serpentine Airport",Serpentine Airport,65.85138889,-164.70277778
10035,"Driftwood Bay, AK: Driftwood Bay Airport",Driftwood Bay Airport,53.97277778,-166.85694444
10036,"Bradley Lake, AK: Bradley Lake Airport",Bradley Lake Airport,59.77611111,-151.96361111
10037,"Chilkat Lake, AK: Chilkat Lake Airport",Chilkat Lake Airport,59.33166667,-135.89666667
10038,"Nugget Creek, AK: Nugget Creek Airport",Nugget Creek Airport,59.28833333,-136.17388889
10039,"Ivotuk, AK: Ivotuk Airstrip",Ivotuk Airstrip,68.48333333,-155.73333333
10040,"Pogo Mines, AK: Pogo Mines Airport",Pogo Mines Airport,64.44,-144.93638889
10041,"Ayakulik River, AK: Ayakulik River Airport",Ayakulik River Airport,57.25388889,-154.42222222
10042,"Kiluda Bay, AK: Kiluda Bay Airport",Kiluda Bay Airport,57.32305556,-153.14944444
10043,"Terror Lake, AK: Terror Lake Airport",Terror Lake Airport,57.96388889,-153.05833333
10044,"Selief Bay, AK: Selief Bay Airport",Selief Bay Airport,58.98277778,-153.18333333
10047,"Laura Lake, AK: Laura Lake Airport",Laura Lake Airport,58.36194444,-152.31222222
10049,"Deep Bay, AK: Deep Bay Airport",Deep Bay Airport,55.56027778,-131.65555556
10050,"Kako, AK: Kako Airport",Kako Airport,61.89888889,-161.43972222
10051,"Molly Creek, AK: Molly Creek Airport",Molly Creek Airport,64.09722222,-143.26666667
10052,"Ptarmigan Lake, AK: Ptarmigan Lake Airport",Ptarmigan Lake Airport,61.86611111,-141.15972222
10053,"Cape Simpson, AK: Cape Simpson Airport",Cape Simpson Airport,71.05694444,-154.72833333
10054,"Kogru River, AK: Kogru River Airport",Kogru River Airport,70.57472222,-152.25888889
10055,"Teshepkuk Lake, AK: Teshepkuk Lake Airport",Teshepkuk Lake Airport,70.35833333,-153.19666667
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",Trident Basin Seaplane Base,57.78083333,-152.39111111
10058,"Lake Florence, AK: Lake Florence Airport",Lake Florence Airport,57.81666667,-134.58333333
10059,"Lake Hasselborg, AK: Lake Hasselborg Airport",Lake Hasselborg Airport,57.7,-134.26666667
10060,"Distin Lake, AK: Distin Lake Airport",Distin Lake Airport,57.61666667,-134.36666667
10061,"Port Hobron, AK: Port Hobron Airport",Port Hobron Airport,57.15,-153.15
10062,"Mooseville Airstrip, AK: Mooseville Airstrip Airport",Mooseville Airstrip Airport,70.28444444,-152.21194444
10063,"Big Bay, AK: Big Bay Airport",Big Bay Airport,58.5625,-152.59611111
10064,"Wien Lake, AK: Wien Lake Airport",Wien Lake Airport,64.35277778,-151.275
10065,"Silver Salmon Creek, AK: Silver Salmon Creek Airport",Silver Salmon Creek Airport,59.96388889,-152.68222222
10066,"Blear Lake, AK: Blear Lake Airport",Blear Lake Airport,64.33333333,-147.5
10067,"Cannery Bay, AK: Cannery Bay Airport",Cannery Bay Airport,53.68333333,-166.75
10069,"Bear Lake, AK: Johnsons Landing",Johnsons Landing,56.03666667,-160.26611111
10070,"International Seafoods, AK: International Seafoods Airport",International Seafoods Airport,58.26666667,-157.53333333
